title
"Wait Hours: Per Job: by Job Size"
parameters

start,end
2016-12-22,2017-01-01
---------
"Job Size","Wait Hours: Per Job","Std Dev: Wait Hours: Per Job"
1,0.94761662,0.021277245449250474
2,27.04697846,0.2774036771007414
"3 - 4",223.20642001,1.367065744920952
"5 - 8",2.38386221,0.04482950539481939
"9 - 16",1.24761007,0.02511417233294825
"17 - 32",14.34069231,1.3041275139063022
"33 - 64",7.00926843,0.8845416369380606
"65 - 128",22.27161812,3.7233393634709016
"129 - 256",10.57740079,5.82532051363015
"257 - 512",6.67972222,1.4827636364381243
---------
